code,name
000767.SZ,晋控电力
000036.SZ,华联控股
601019.SS,山东出版
300897.SZ,山科智能
001333.SZ,光华股份
000155.SZ,川能动力
605151.SS,西上海
001233.SZ,海安集团
000055.SZ,方大集团
300997.SZ,欢乐家
688805.SS,健信超导
002799.SZ,环球印务
300364.SZ,中文在线
301102.SZ,兆讯传媒
300435.SZ,中泰股份
603501.SS,豪威集团
000811.SZ,冰轮环境
003019.SZ,宸展光电
688041.SS,海光信息
688710.SS,益诺思
300682.SZ,朗新科技
300264.SZ,佳创视讯
603350.SS,安乃达
301002.SZ,崧盛股份
300535.SZ,达威股份
688141.SS,杰华特
300782.SZ,卓胜微
688610.SS,埃科光电
000911.SZ,*ST广糖
600361.SS,创新新材
601107.SS,四川成渝
000679.SZ,大连友谊
600261.SS,阳光照明
601007.SS,金陵饭店
600530.SS,交大昂立
000779.SZ,甘咨询
000028.SZ,国药一致
600787.SS,中储股份
300319.SZ,麦捷科技
300448.SZ,浩云科技
002202.SZ,金风科技
002553.SZ,南方精工
301499.SZ,维科精密
600892.SS,*ST大晟
300219.SZ,鸿利智汇
300548.SZ,长芯博创
301599.SZ,理奇智能
600992.SS,贵绳股份
002302.SZ,西部建设
002453.SZ,华软科技
600183.SS,生益科技
600234.SS,科新发展
605179.SS,一鸣食品
603529.SS,爱玛科技
601816.SS,京沪高铁
603278.SS,大业股份
688069.SS,德林海
003031.SZ,中瓷电子
002506.SZ,协鑫集成
000839.SZ,国安股份
603429.SS,*ST集友
603378.SS,*ST亚士
601916.SS,浙商银行
002406.SZ,远东传动
002357.SZ,富临运业
688638.SS,誉辰智能
688169.SS,石头科技
600418.SS,江淮汽车
000100.SZ,TCL科技
001366.SZ,播恩集团
000651.SZ,格力电器
601398.SS,工商银行
600518.SS,康美药业
600249.SS,两面针
601298.SS,青岛港
001266.SZ,宏英智能
000751.SZ,锌业股份
301157.SZ,华塑科技
300460.SZ,ST惠伦
603205.SS,健尔康
300331.SZ,苏大维格
301606.SZ,绿联科技
301057.SZ,汇隆新材
300560.SZ,中富通
300231.SZ,银信科技
603305.SS,旭升集团
688114.SS,华大智造
300086.SZ,康芝药业
688726.SS,拉普拉斯
301383.SZ,天键股份
688077.SS,大地熊
002518.SZ,科士达
002249.SZ,大洋电机
300403.SZ,汉宇集团
688591.SS,泰凌微
603266.SS,天龙股份
601808.SS,XD中海油
301665.SZ,泰禾股份
300352.SZ,ST信源
002418.SZ,康盛股份
000927.SZ,中国铁物
002349.SZ,精华制药
