min_consecutive_limit_up,min_entity_board_ratio,pullback_ratio_min,pullback_ratio_max,volume_shrink_ratio,volume_shrink_ratio_min,take_profit,stop_loss,hold_days,require_oversold,require_low_close,win_rate,avg_return,total_return,signal_count,profit_factor,sharpe,sortino,max_drawdown,score
3,0.6,0.07,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.786,0.0294,359.5305,215,3.02,4.26,5.0,-37.13,0.9214
3,0.6,0.07,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.786,0.0294,359.5305,215,3.02,4.26,5.0,-37.13,0.9214
3,0.6,0.07,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.786,0.0294,359.5305,215,3.02,4.26,5.0,-37.13,0.9214
3,0.2,0.11,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.7796,0.0297,168.0216,186,3.15,4.11,5.0,-31.4,0.9208
3,0.2,0.11,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.7796,0.0297,168.0216,186,3.15,4.11,5.0,-31.4,0.9208
3,0.2,0.11,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.7796,0.0297,168.0216,186,3.15,4.11,5.0,-31.4,0.9208
3,0.4,0.03,0.12,0.6,0.1,0.09,-0.16,10,False,False,0.7718,0.0409,55329.2574,298,2.84,3.3,5.0,-72.96,0.9201
3,0.4,0.03,0.12,0.6,0.05,0.09,-0.16,10,False,False,0.7718,0.0409,55329.2574,298,2.84,3.3,5.0,-72.96,0.9201
3,0.6,0.07,0.22,0.4,0.0,0.06,-0.16,10,False,False,0.786,0.0292,332.2533,215,2.98,3.96,5.0,-33.19,0.9201
3,0.6,0.07,0.22,0.4,0.05,0.06,-0.16,10,False,False,0.786,0.0292,332.2533,215,2.98,3.96,5.0,-33.19,0.9201
3,0.6,0.07,0.22,0.4,0.1,0.06,-0.16,10,False,False,0.786,0.0292,332.2533,215,2.98,3.96,5.0,-33.19,0.9201
3,0.4,0.03,0.12,0.6,0.0,0.09,-0.16,10,False,False,0.7718,0.0409,55329.2574,298,2.84,3.3,5.0,-72.96,0.9201
3,0.2,0.03,0.42,0.4,0.0,0.06,-0.16,10,False,False,0.7827,0.0294,17901.349,359,3.11,4.98,5.0,-39.37,0.9199
3,0.2,0.03,0.42,0.4,0.05,0.06,-0.16,10,False,False,0.7827,0.0294,17901.349,359,3.11,4.98,5.0,-39.37,0.9199
3,0.2,0.03,0.42,0.4,0.1,0.06,-0.16,10,False,False,0.7827,0.0294,17901.349,359,3.11,4.98,5.0,-39.37,0.9199
3,0.2,0.03,0.12,0.6,0.0,0.09,-0.16,10,False,False,0.771,0.0409,88340.8648,310,2.9,3.38,5.0,-73.23,0.9198
3,0.2,0.03,0.12,0.6,0.1,0.09,-0.16,10,False,False,0.771,0.0409,88340.8648,310,2.9,3.38,5.0,-73.23,0.9198
3,0.2,0.03,0.12,0.6,0.05,0.09,-0.16,10,False,False,0.771,0.0409,88340.8648,310,2.9,3.38,5.0,-73.23,0.9198
3,0.2,0.03,0.12,0.6,0.1,0.06,-0.08,10,False,False,0.7839,0.0293,4754.6052,310,2.83,3.47,5.0,-37.08,0.9197
3,0.2,0.03,0.12,0.6,0.0,0.06,-0.08,10,False,False,0.7839,0.0293,4754.6052,310,2.83,3.47,5.0,-37.08,0.9197
3,0.2,0.03,0.12,0.6,0.05,0.06,-0.08,10,False,False,0.7839,0.0293,4754.6052,310,2.83,3.47,5.0,-37.08,0.9197
3,0.4,0.11,0.32,0.4,0.05,0.06,-0.16,10,False,False,0.7915,0.0289,1033.0588,259,3.08,4.88,5.0,-31.44,0.9195
3,0.4,0.11,0.32,0.4,0.1,0.06,-0.16,10,False,False,0.7915,0.0289,1033.0588,259,3.08,4.88,5.0,-31.44,0.9195
3,0.4,0.11,0.32,0.4,0.0,0.06,-0.16,10,False,False,0.7915,0.0289,1033.0588,259,3.08,4.88,5.0,-31.44,0.9195
3,0.4,0.03,0.12,0.6,0.05,0.06,-0.08,10,False,False,0.7852,0.0292,3248.4599,298,2.76,3.38,5.0,-37.08,0.9192
3,0.4,0.03,0.12,0.6,0.0,0.06,-0.08,10,False,False,0.7852,0.0292,3248.4599,298,2.76,3.38,5.0,-37.08,0.9192
3,0.4,0.03,0.12,0.6,0.1,0.06,-0.08,10,False,False,0.7852,0.0292,3248.4599,298,2.76,3.38,5.0,-37.08,0.9192
3,0.2,0.11,0.22,0.4,0.05,0.06,-0.12,10,False,False,0.7796,0.0294,163.7189,186,3.09,4.35,5.0,-37.13,0.9191
3,0.2,0.11,0.22,0.4,0.1,0.06,-0.12,10,False,False,0.7796,0.0294,163.7189,186,3.09,4.35,5.0,-37.13,0.9191
3,0.2,0.11,0.22,0.4,0.0,0.06,-0.12,10,False,False,0.7796,0.0294,163.7189,186,3.09,4.35,5.0,-37.13,0.9191
3,0.6,0.03,0.12,0.6,0.1,0.09,-0.16,10,False,False,0.7687,0.0403,39488.2643,294,2.79,3.3,5.0,-72.96,0.919
3,0.6,0.03,0.12,0.6,0.05,0.09,-0.16,10,False,False,0.7687,0.0403,39488.2643,294,2.79,3.3,5.0,-72.96,0.919
3,0.6,0.03,0.12,0.6,0.0,0.09,-0.16,10,False,False,0.7687,0.0403,39488.2643,294,2.79,3.3,5.0,-72.96,0.919
3,0.6,0.07,0.32,0.4,0.0,0.06,-0.12,10,False,False,0.7931,0.0287,2278.5352,290,2.99,4.98,5.0,-33.49,0.9188
3,0.6,0.07,0.32,0.4,0.1,0.06,-0.12,10,False,False,0.7931,0.0287,2278.5352,290,2.99,4.98,5.0,-33.49,0.9188
3,0.6,0.07,0.32,0.4,0.05,0.06,-0.12,10,False,False,0.7931,0.0287,2278.5352,290,2.99,4.98,5.0,-33.49,0.9188
3,0.4,0.11,0.42,0.4,0.0,0.06,-0.12,10,False,False,0.7862,0.029,2520.7638,290,3.07,5.49,5.0,-32.32,0.9186
3,0.4,0.11,0.42,0.4,0.05,0.06,-0.12,10,False,False,0.7862,0.029,2520.7638,290,3.07,5.49,5.0,-32.32,0.9186
3,0.4,0.11,0.42,0.4,0.1,0.06,-0.12,10,False,False,0.7862,0.029,2520.7638,290,3.07,5.49,5.0,-32.32,0.9186
3,0.6,0.07,0.32,0.4,0.05,0.06,-0.16,10,False,False,0.7931,0.0286,2168.0455,290,2.99,4.73,5.0,-33.19,0.9185
3,0.6,0.03,0.22,0.6,0.05,0.06,-0.12,10,False,False,0.7962,0.0285,15370086.5115,633,2.68,4.52,5.0,-62.67,0.9185
3,0.6,0.03,0.22,0.6,0.0,0.06,-0.12,10,False,False,0.7962,0.0285,15370086.5115,633,2.68,4.52,5.0,-62.67,0.9185
3,0.6,0.07,0.32,0.4,0.0,0.06,-0.16,10,False,False,0.7931,0.0286,2168.0455,290,2.99,4.73,5.0,-33.19,0.9185
3,0.6,0.03,0.22,0.6,0.1,0.06,-0.12,10,False,False,0.7962,0.0285,15370086.5115,633,2.68,4.52,5.0,-62.67,0.9185
3,0.6,0.07,0.32,0.4,0.1,0.06,-0.16,10,False,False,0.7931,0.0286,2168.0455,290,2.99,4.73,5.0,-33.19,0.9185
3,0.2,0.03,0.22,0.6,0.1,0.06,-0.16,10,False,False,0.7922,0.0286,42396439.923,669,2.74,4.25,5.0,-51.05,0.9182
3,0.2,0.03,0.22,0.6,0.0,0.06,-0.16,10,False,False,0.7922,0.0286,42396439.923,669,2.74,4.25,5.0,-51.05,0.9182
3,0.2,0.03,0.22,0.6,0.05,0.06,-0.16,10,False,False,0.7922,0.0286,42396439.923,669,2.74,4.25,5.0,-51.05,0.9182
3,0.2,0.03,0.32,0.4,0.1,0.06,-0.16,10,False,False,0.7866,0.0289,6569.8179,328,3.03,4.57,5.0,-39.37,0.918
3,0.2,0.03,0.32,0.4,0.05,0.06,-0.16,10,False,False,0.7866,0.0289,6569.8179,328,3.03,4.57,5.0,-39.37,0.918
3,0.2,0.03,0.32,0.4,0.0,0.06,-0.16,10,False,False,0.7866,0.0289,6569.8179,328,3.03,4.57,5.0,-39.37,0.918
3,0.4,0.11,0.32,0.4,0.1,0.06,-0.12,10,False,False,0.7915,0.0286,977.9414,259,3.02,5.06,5.0,-33.49,0.9175
3,0.4,0.11,0.32,0.4,0.0,0.06,-0.12,10,False,False,0.7915,0.0286,977.9414,259,3.02,5.06,5.0,-33.49,0.9175
3,0.4,0.11,0.32,0.4,0.05,0.06,-0.12,10,False,False,0.7915,0.0286,977.9414,259,3.02,5.06,5.0,-33.49,0.9175
3,0.4,0.07,0.12,0.6,0.05,0.09,-0.16,10,False,False,0.7634,0.0385,588.714,186,2.66,3.25,5.0,-44.57,0.9172
